Player,Team,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Derrick Henry,TEN,25,RB,15,15,303,1540,16,73,74,5.1,102.7,5
Ezekiel Elliott,DAL,24,RB,16,16,301,1357,12,78,33,4.5,84.8,3
Nick Chubb,CLE,24,RB,16,16,298,1494,8,62,88,5,93.4,3
Christian McCaffrey,CAR,23,RB,16,16,287,1387,15,57,84,4.8,86.7,1
Chris Carson,SEA,25,RB,15,15,278,1230,7,75,59,4.4,82,7
Joe Mixon,CIN,23,RB,16,15,278,1137,5,56,41,4.1,71.1,0
Leonard Fournette,JAX,24,RB,15,15,265,1152,3,55,81,4.3,76.8,1
Dalvin Cook,MIN,24,RB,14,14,250,1135,13,60,75,4.5,81.1,4
Marlon Mack,IND,23,RB,14,12,247,1091,8,67,63,4.4,77.9,0
Sony Michel,NWE,24,RB,16,14,247,912,7,55,26,3.7,57,2
Le'Veon Bell,NYJ,27,RB,15,15,245,789,3,36,19,3.2,52.6,1
Carlos Hyde,HOU,29,RB,16,14,245,1070,6,55,58,4.4,66.9,4
Josh Jacobs,OAK,21,RB,13,13,242,1150,7,53,51,4.8,88.5,1
David Montgomery,CHI,22,RB,16,8,242,889,6,50,55,3.7,55.6,2
Aaron Jones,GNB,25,RB,16,16,236,1084,16,55,56,4.6,67.8,3
Phillip Lindsay,DEN,25,RB,16,16,224,1011,7,38,40,4.5,63.2,0
Todd Gurley,LAR,25,RB,15,15,223,857,12,51,25,3.8,57.1,3
Saquon Barkley,NYG,22,RB,13,13,217,1003,6,45,68,4.6,77.2,1
Adrian Peterson,WAS,34,RB,15,15,211,898,5,41,32,4.3,59.9,3
Mark Ingram,BAL,30,RB,15,15,202,1018,10,53,53,5,67.9,2
Devonta Freeman,ATL,27,RB,14,14,184,656,2,31,28,3.6,46.9,3
Miles Sanders,PHI,22,RB,16,11,179,818,3,30,65,4.6,51.1,2
Lamar Jackson,BAL,22,QB,15,15,176,1206,7,71,47,6.9,80.4,9
Ronald Jones II,TAM,22,RB,16,9,172,724,6,34,49,4.2,45.3,3
Alvin Kamara,NOR,24,RB,14,9,171,797,5,32,40,4.7,56.9,4
Kenyan Drake,2TM,25,RB,14,10,170,817,8,48,80,4.8,58.4,2
Frank Gore,BUF,36,RB,16,8,166,599,2,30,41,3.6,37.4,0
Melvin Gordon,LAC,26,RB,12,11,162,612,8,39,24,3.8,51,4
Peyton Barber,TAM,25,RB,16,7,154,470,6,23,17,3.1,29.4,1
Devin Singletary,BUF,22,RB,12,8,151,775,2,37,38,5.1,64.6,4
Latavius Murray,NOR,29,RB,16,8,146,637,5,38,30,4.4,39.8,0
Tevin Coleman,SFO,26,RB,14,11,137,544,6,26,48,4,38.9,0
Raheem Mostert,SFO,27,RB,16,0,137,772,8,31,41,5.6,48.3,2
Gus Edwards,BAL,24,RB,16,1,133,711,2,46,63,5.3,44.4,2
Austin Ekeler,LAC,24,RB,16,8,132,557,3,32,35,4.2,34.8,3
Royce Freeman,DEN,23,RB,16,0,132,496,3,22,26,3.8,31,0
Matt Breida,SFO,24,RB,13,5,123,623,1,23,83,5.1,47.9,2
Jordan Howard,PHI,25,RB,10,4,119,525,6,28,20,4.4,52.5,0
James Conner,PIT,24,RB,10,10,116,464,4,26,25,4,46.4,1
Kerryon Johnson,DET,22,RB,8,7,113,403,3,22,20,3.6,50.4,1
Damien Williams,KAN,27,RB,11,6,111,498,5,22,91,4.5,45.3,1
Josh Allen,BUF,23,QB,16,16,109,510,9,42,36,4.7,31.9,14
Benny Snell Jr.,PIT,21,RB,13,2,108,426,2,19,23,3.9,32.8,1
DeAndre Washington,OAK,26,RB,16,3,108,387,3,23,36,3.6,24.2,0
Jamaal Williams,GNB,24,RB,14,2,107,460,1,23,45,4.3,32.9,0
LeSean McCoy,KAN,31,RB,13,9,101,465,4,24,39,4.6,35.8,3
Alexander Mattison,MIN,21,RB,13,0,100,462,1,19,35,4.6,35.5,1
David Johnson,ARI,28,RB,13,9,94,345,2,20,18,3.7,26.5,1
Kyler Murray,ARI,22,QB,16,16,93,544,4,27,35,5.8,34,5
Bo Scarbrough,DET,23,RB,6,5,89,377,1,15,30,4.2,62.8,1
Tony Pollard,DAL,22,RB,15,0,86,455,2,21,44,5.3,30.3,1
Duke Johnson,HOU,26,RB,16,2,83,410,2,17,40,4.9,25.6,1
Deshaun Watson,HOU,24,QB,15,15,82,413,7,29,30,5,27.5,10
Brian Hill,ATL,24,RB,12,2,78,323,2,19,27,4.1,26.9,0
Russell Wilson,SEA,31,QB,16,16,75,342,3,17,21,4.6,21.4,8
Kalen Ballage,MIA,24,RB,12,6,74,135,3,10,8,1.8,11.3,0
Malcolm Brown,LAR,26,RB,14,1,69,255,5,16,17,3.7,18.2,0
Gardner Minshew II,JAX,23,QB,14,12,67,344,0,20,21,5.1,24.6,13
James White,NWE,27,RB,15,1,67,263,1,15,32,3.9,17.5,1
Jaylen Samuels,PIT,23,RB,14,4,66,175,1,9,13,2.7,12.5,1
Rex Burkhead,NWE,29,RB,13,1,65,302,3,18,33,4.6,23.2,1
Rashaad Penny,SEA,23,RB,10,0,65,370,3,16,58,5.7,37,1
Tarik Cohen,CHI,24,RB,16,11,64,213,0,15,19,3.3,13.3,3
Ty Johnson,DET,22,RB,16,1,63,273,0,11,40,4.3,17.1,1
Patrick Laird,MIA,24,RB,15,4,62,168,1,9,18,2.7,11.2,0
Carson Wentz,PHI,27,QB,16,16,62,243,1,21,19,3.9,15.2,16
Boston Scott,PHI,24,RB,11,2,61,245,5,17,25,4,22.3,4
Chase Edmonds,ARI,23,RB,13,2,60,303,4,12,37,5.1,23.3,0
Bilal Powell,NYJ,31,RB,13,1,59,229,0,12,17,3.9,17.6,0
Jameis Winston,TAM,25,QB,16,16,59,250,1,18,26,4.2,15.6,12
Justice Hill,BAL,22,RB,16,0,58,225,2,10,18,3.9,14.1,0
Jacoby Brissett,IND,27,QB,15,15,56,228,4,20,24,4.1,15.2,7
Ryan Fitzpatrick,MIA,37,QB,15,13,54,243,4,16,20,4.5,16.2,9
Dion Lewis,TEN,29,RB,16,1,54,209,0,6,17,3.9,13.1,1
Giovani Bernard,CIN,28,RB,16,2,53,170,0,10,25,3.2,10.6,2
Mark Walton,MIA,22,RB,7,4,53,201,0,11,19,3.8,28.7,1
Nyheim Hines,IND,23,RB,16,2,52,199,2,16,18,3.8,12.4,1
Dak Prescott,DAL,26,QB,16,16,52,277,3,19,42,5.3,17.3,6
Jordan Wilkins,IND,25,RB,14,1,51,307,2,12,55,6,21.9,0
Mike Boone,MIN,24,RB,16,2,49,273,3,9,59,5.6,17.1,0
Jonathan Williams,IND,25,RB,9,1,49,235,1,13,48,4.8,26.1,0
Mitchell Trubisky,CHI,25,QB,15,15,48,193,2,12,23,4,12.9,5
Jimmy Garoppolo,SFO,28,QB,16,16,46,62,1,13,11,1.3,3.9,10
Aaron Rodgers,GNB,36,QB,16,16,46,183,1,9,17,4,11.4,4
Daniel Jones,NYG,22,QB,13,12,45,279,2,21,26,6.2,21.5,18
